meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1979,ATCM,10,ATCM X,wp,1,0,Agenda,ATCM 4,United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp001_e.pdf
1979,ATCM,10,ATCM X,wp,2,0,Final report of the third Antarctic Treaty meeting on telecommunications,ATCM 7,United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp002_e.pdf
1979,ATCM,10,ATCM X,wp,3,0,SCAR's response to Recommendation IX-3 Improvement of telecommunications in the Antarctic,ATCM 7,SCAR,https://documents.ats.aq/ATCM10/wp/ATCM10_wp003_e.pdf
1979,ATCM,10,ATCM X,wp,4,0,Sites of Special Scientific Interest report on sites within New Zealand's area of operations,ATCM 8,New Zealand,https://documents.ats.aq/ATCM10/wp/ATCM10_wp004_e.pdf
1979,ATCM,10,ATCM X,wp,5,0,Draft paper (submitted by the Delegation of New Zealand),ATCM 10 | ATCM 5,New Zealand,https://documents.ats.aq/ATCM10/wp/ATCM10_wp005_e.pdf
1979,ATCM,10,ATCM X,wp,5,1,Facilitation of scientific research collection of geological specimens,ATCM 10 | ATCM 5,New Zealand | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp005_rev1_e.pdf
1979,ATCM,10,ATCM X,wp,5,2,Facilitation of scientific research: Collection of geological specimens,ATCM 10 | ATCM 5,New Zealand | Russian Federation | United Kingdom | United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp005_rev2_e.pdf
1979,ATCM,10,ATCM X,wp,6,0,Improvement of Antarctic telecommunications and the collection and distribution of meteorological data: draft recommendation,ATCM 7,Argentina,https://documents.ats.aq/ATCM10/wp/ATCM10_wp006_e.pdf
1979,ATCM,10,ATCM X,wp,6,1,Improvement of Antarctic telecommunications and the collection and distribution of meteorological data: draft recommendation,ATCM 7,Argentina,https://documents.ats.aq/ATCM10/wp/ATCM10_wp006_rev1_e.pdf
1979,ATCM,10,ATCM X,wp,7,0,Improvement of Antarctic telecommunications and of the collection and distribution of meteorological data,ATCM 7,Chile,https://documents.ats.aq/ATCM10/wp/ATCM10_wp007_e.pdf
1979,ATCM,10,ATCM X,wp,8,0,The effects of tourism and non-governmental expeditions in the Antarctic Treaty Area: working document,ATCM 10,Chile,https://documents.ats.aq/ATCM10/wp/ATCM10_wp008_e.pdf
1979,ATCM,10,ATCM X,wp,9,0,"Proposal of the Polish delegation concerning the coastal Site of Special Scientific Interest, Admiralty Bay and adjacent area King George Island",ATCM 8,Poland,https://documents.ats.aq/ATCM10/wp/ATCM10_wp009_e.pdf
1979,ATCM,10,ATCM X,wp,9,1,"Draft management plan for an additional SSSI in Admiralty Bay, King George Island, South Shetland Islands",ATCM 8,Poland,https://documents.ats.aq/ATCM10/wp/ATCM10_wp009_rev1_e.pdf
1979,ATCM,10,ATCM X,wp,9,2,Facilitation of scientific research: SSSI interim guidelines,ATCM 8,Poland,https://documents.ats.aq/ATCM10/wp/ATCM10_wp009_rev2_e.pdf
1979,ATCM,10,ATCM X,wp,10,0,Improvement of Antarctic telecommunications and of the collection and distribution of meteorological data,ATCM 7,Chile,https://documents.ats.aq/ATCM10/wp/ATCM10_wp010_e.pdf
1979,ATCM,10,ATCM X,wp,11,0,Recommendation X - improvement of telecommunications in Antarctica,ATCM 7,Russian Federation,https://documents.ats.aq/ATCM10/wp/ATCM10_wp011_e.pdf
1979,ATCM,10,ATCM X,wp,11,1,Recommendation X - improvement of telecommunications in Antarctica,ATCM 7,Russian Federation,https://documents.ats.aq/ATCM10/wp/ATCM10_wp011_rev1_e.pdf
1979,ATCM,10,ATCM X,wp,12,0,Improvement of Antarctic telecommunications systems and collection and distribution of meteorological data,ATCM 7,United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp012_e.pdf
1979,ATCM,10,ATCM X,wp,13,0,Private expeditions,ATCM 15,United Kingdom,https://documents.ats.aq/ATCM10/wp/ATCM10_wp013_e.pdf
1979,ATCM,10,ATCM X,wp,14,0,List of participants,ATCM 1,United States,https://documents.ats.aq/ATCM10/wp/ATCM10_wp014_e.pdf
