meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2009,ATCM,32,ATCM XXXII - CEP XII,wp,1,0,The Antarctic biological prospecting database,ATCM 17,Belgium | Brazil | Bulgaria | Finland | France | Germany | Netherlands | Sweden,https://documents.ats.aq/ATCM32/wp/ATCM32_wp001_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,2,0,"Site Guidelines for Stonington Island, Marguerite Bay, Antarctic Peninsula",CEP 7c,United Kingdom | United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp002_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,3,0,Antarctic Protected Area System: Revised list of Historic Sites and Monuments - Measure 3 (2003). Guidelines for its application,CEP 7b,Chile,https://documents.ats.aq/ATCM32/wp/ATCM32_wp003_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,4,0,Second Progress Report on the Discussion of the International Working Group about Possibilities for Environmental Management of Fildes Peninsula and Ardley Island,CEP 7d,Chile | Germany,https://documents.ats.aq/ATCM32/wp/ATCM32_wp004_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,5,0,A work program for CEP action on non-native species,CEP 8a,Australia | France | New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp005_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,6,0,Maximizing the Antarctic IPY legacy,ATCM 10,Norway | United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp006_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,7,0,Amendments to the Rules of Procedure for the Committee for Environmental Protection,CEP 4,Australia,https://documents.ats.aq/ATCM32/wp/ATCM32_wp007_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,8,0,Subsidiary Group on Management Plans – Report on Term of Reference #4: Improving Management Plans and the Process for their Intersessional Review,CEP 7a,Australia,https://documents.ats.aq/ATCM32/wp/ATCM32_wp008_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,9,0,Report on informal discussions about the non-specific information contained in the Site Guidelines for Visitors to Antarctica,CEP 7c,France,https://documents.ats.aq/ATCM32/wp/ATCM32_wp009_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,10,0,Strategic vision of Antarctic tourism for the next decade,ATCM 11,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp010_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,11,0,"Site Guidelines for Horseshoe Island and Detaille Island, Antarctic Peninsula",CEP 7c,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp011_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,12,0,Environmental aspects and impacts of tourism and non-governmental activities in Antarctica: Draft project scope,CEP 6b,Australia | France | New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp012_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,13,0,"Visitor Site Guide for Cape Royds, Ross Island",CEP 7c,New Zealand | United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp013_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,14,0,Report of the CEP Observer to the twenty-seventh meeting of the Scientific Committee to CCAMLR; 27 – 31 October 2008,CEP 11,New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp014_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,15,0,Initiative to Extend the Boundary of the International Maritime Organization’s Antarctic Special Area Northward to the Antarctic Convergence,ATCM 5,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp015_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,16,0,Lifeboats on Antarctic Tourist Vessels,ATCM 11,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp016_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,17,0,Proposal to make binding certain limitations on landing of persons from passenger vessels,ATCM 11,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp017_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,18,0,Regulation of biological prospecting under the Antarctic Treaty system,ATCM 17,Australia | New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp018_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,19,0,"Site Guidelines for Wordie House, Winter Island, Argentine Islands",CEP 7c,Ukraine | United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp019_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,20,0,Revision of Management Plan for Antarctic Specially Protected Area No. 152: Western Bransfield Strait,CEP 7a,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp020_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,21,0,Revision of Management Plan for Antarctic Specially Protected Area No. 153: Eastern Dallmann Bay,CEP 7a,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp021_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,22,0,"Revision of Management Plan for Antarctic Specially Protected Area No. 121: Cape Royds, Ross Island",CEP 7a,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp022_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,23,0,Propagule transport associated with logistic operations: a South African appraisal of a regional issue,CEP 8a,South Africa,https://documents.ats.aq/ATCM32/wp/ATCM32_wp023_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,24,0,"Revision of Management Plan for Antarctic Specially Protected Area No. 113: Litchfield Island, Arthur Harbor, Anvers Island, Palmer Archipelago",CEP 7a,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp024_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,25,0,Revision of maps and text for the Management Plan for Antarctic Specially Managed Area No. 7: Southwest Anvers Island and Palmer Basin,CEP 7a,United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp025_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,26,0,A gap analysis of the Antarctic Treaty system regarding the management of biological prospecting,ATCM 17,Netherlands | Belgium | Bulgaria | Finland | France | Germany | Spain | Sweden,https://documents.ats.aq/ATCM32/wp/ATCM32_wp026_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,27,0,Review of Antarctic Specially Protected Area (ASPA) No. 104: Sabrina Island,CEP 7a,New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp027_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,28,0,"Site Guidelines for Baily Head and Telefon Bay, Deception Island, South Shetland Islands",CEP 7c,Argentina | Chile | Norway | Spain | United Kingdom | United States,https://documents.ats.aq/ATCM32/wp/ATCM32_wp028_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,29,0,Towards a representative system of marine spatial protection for the South Orkney Islands,CEP 7d,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp029_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,30,0,Antarctic Treaty Meeting of Experts on the Management of Ship-borne Tourism in the Antarctic Treaty Area,ATCM 11,New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp030_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,31,0,Updated analysis of representation of Annex V categories and Environmental Domains in the system of Antarctic Specially Protected and Managed Areas,CEP 7d,New Zealand,https://documents.ats.aq/ATCM32/wp/ATCM32_wp031_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,32,0,Procedures for vehicle cleaning to prevent transfer of non-native species into and around Antarctica,CEP 8a,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp032_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,33,0,Review of provisions relating to non-native species introductions in ASPA and ASMA management plans,CEP 8a,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp033_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,34,0,Spatial protection and management of Antarctic marine biodiversity,CEP 7d,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp034_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,35,1,"Proposal to add the British hut (Base W) on Detaille Island, Lallemand Fjord, Loubet Coast to the List of Historic Sites and Monuments",CEP 7b,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp035_rev1_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,36,1,"Proposal to add the British hut at Damoy Point, Dorian Bay, Wiencke Island to the List of Historic Sites and Monuments",CEP 7b,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp036_rev1_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,37,0,Report of the Intersessional Contact Group on the revision of List A “Permanent Antarctic stations and associated installations” appended to Resolution 5 (1995),ATCM 12,Argentina,https://documents.ats.aq/ATCM32/wp/ATCM32_wp037_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,38,0,Climate change and the Antarctic environment: Management implications,CEP 9a,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp038_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,39,0,Annex II: Finalising the review,ATCM 5,Australia,https://documents.ats.aq/ATCM32/wp/ATCM32_wp039_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,40,0,"Review of Management Plans for Antarctic Specially Protected Areas (ASPAs) 136 Clark Peninsula and 162 Mawson’s Huts, and Antarctic Specially Managed Area (ASMA) 3 Cape Denison",CEP 7a,Australia,https://documents.ats.aq/ATCM32/wp/ATCM32_wp040_e.doc
2009,ATCM,32,ATCM XXXII - CEP XII,wp,41,0,Development of environmental data services to inform the Environmental Impact Assessment (EIA) process,CEP 9b,United Kingdom,https://documents.ats.aq/ATCM32/wp/ATCM32_wp041_e.doc
