meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1985,ATCM,13,ATCM XIII,wp,1,0,Agenda,ATCM 4,Belgium,https://documents.ats.aq/ATCM13/wp/ATCM13_wp001_s.pdf
1985,ATCM,13,ATCM XIII,wp,2,0,Discussion document presented by the USA in response to paragraph 5 of Recommendation XII-6,ATCM 5,United States,https://documents.ats.aq/ATCM13/wp/ATCM13_wp002_s.pdf
1985,ATCM,13,ATCM XIII,wp,3,0,"""Отчет и рассмотрение достижений, осуществленных Системой Договора 06 Антарктике со времени окончания последне го Очередного Консультативного Совещания"" (или же: двухгодичный Отчет о Системе Договора об Антарктике)",ATCM 5,Chile,https://documents.ats.aq/ATCM13/wp/ATCM13_wp003_r.pdf
1985,ATCM,13,ATCM XIII,wp,4,0,Code of conduct for Antarctic expeditions and activities in the stations,ATCM 9,Australia,https://documents.ats.aq/ATCM13/wp/ATCM13_wp004_f.pdf
1985,ATCM,13,ATCM XIII,wp,5,0,Operation of Antarctic Treaty system,ATCM 5,Chile,https://documents.ats.aq/ATCM13/wp/ATCM13_wp005_s.pdf
1985,ATCM,13,ATCM XIII,wp,5,1,Operation of the Antarctic system,ATCM 5,Chile,https://documents.ats.aq/ATCM13/wp/ATCM13_wp005_rev1_s.pdf
1985,ATCM,13,ATCM XIII,wp,6,0,Problems of overlap in certain areas of the Treaty,ATCM 5,Chile,https://documents.ats.aq/ATCM13/wp/ATCM13_wp006_s.pdf
1985,ATCM,13,ATCM XIII,wp,7,0,Extension of expiry dates of current SSSIs,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM13/wp/ATCM13_wp007_s.pdf
1985,ATCM,13,ATCM XIII,wp,7,1,Extension of expiry dates of current SSSIs,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM13/wp/ATCM13_wp007_rev1_s.pdf
1985,ATCM,13,ATCM XIII,wp,8,0,Proposals approved in the XVIII SCAR meeting,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM13/wp/ATCM13_wp008_s.pdf
1985,ATCM,13,ATCM XIII,wp,9,0,Operation of the Treaty,ATCM 5,Chile,https://documents.ats.aq/ATCM13/wp/ATCM13_wp009_s.pdf
1985,ATCM,13,ATCM XIII,wp,10,0,Operation of Treaty system - cost sharing,ATCM 5,Australia,https://documents.ats.aq/ATCM13/wp/ATCM13_wp010_s.pdf
1985,ATCM,13,ATCM XIII,wp,11,0,Proposals for designating new SSSIs,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM13/wp/ATCM13_wp011_s.pdf
1985,ATCM,13,ATCM XIII,wp,12,0,Revision to management plan : SSSI No.1 Isle of Ross,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM13/wp/ATCM13_wp012_s.pdf
1985,ATCM,13,ATCM XIII,wp,13,0,Historical Monuments - draft recommendation presented by Belgium,ATCM 15,Belgium,https://documents.ats.aq/ATCM13/wp/ATCM13_wp013_s.pdf
1985,ATCM,13,ATCM XIII,wp,14,0,Draft recommendation on information about the Antarctic Treaty System,ATCM 5,United States,https://documents.ats.aq/ATCM13/wp/ATCM13_wp014_s.pdf
