meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,1,0,CEP Five-Year Work Plan adopted at the XVIth CEP Meeting in Brussels,CEP 3,France,https://documents.ats.aq/ATCM37/wp/ATCM37_wp001_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,2,0,Key Thematic Recommendations from 10 years of Antarctic Treaty Inspection Reports,ATCM 12,United Kingdom | Australia | France | Germany | Netherlands | Russian Federation | South Africa | Spain | Sweden,https://documents.ats.aq/ATCM37/wp/ATCM37_wp002_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,3,0,"Revised Management Plan for Antarctic Specially Protected Area No.139 Biscoe Point, Anvers Island, Palmer Archipelago",CEP 9a,United States,https://documents.ats.aq/ATCM37/wp/ATCM37_wp003_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,4,0,Report on the informal discussion on tourism and the risk of introducing non-native organisms,ATCM 11 | CEP 10a,Germany,https://documents.ats.aq/ATCM37/wp/ATCM37_wp004_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,5,0,UAVs and their possible environmental impacts,CEP 8b,Germany | Poland,https://documents.ats.aq/ATCM37/wp/ATCM37_wp005_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,6,0,"Revised Management Plan for Antarctic Specially Protected Area No. 113 Litchfield Island, Arthur Harbor Anvers Island, Palmer Archipelago",CEP 9a,United States,https://documents.ats.aq/ATCM37/wp/ATCM37_wp006_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,7,0,"Revised Management Plan for Antarctic Specially Protected Area No. 121 Cape Royds, Ross Island",CEP 9a,United States,https://documents.ats.aq/ATCM37/wp/ATCM37_wp007_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,8,0,Report from ICG on Climate Change,CEP 7,Norway | United Kingdom,https://documents.ats.aq/ATCM37/wp/ATCM37_wp008_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,9,0,Education and Outreach activities associated with Antarctic Treaty Consultative Meetings (ATCM),ATCM 15 | CEP 13,Brazil | Belgium | Bulgaria | Portugal | United Kingdom,https://documents.ats.aq/ATCM37/wp/ATCM37_wp009_e.doc
2014,ATCM,37,ATCM XXXVII - CEP XVII,wp,10,0,Antarctic Environments Portal: Progress Report,CEP 3,New Zealand | Australia | Belgium | Norway | SCAR,https://documents.ats.aq/ATCM37/wp/ATCM37_wp010_e.doc
