meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2003,ATCM,26,ATCM XXVI - CEP VI,wp,1,0,Water sampling of the subglacial Lake Vostok Draft Comprehensive Environmental Evalutation (revised),CEP 4(b),Russian Federation,https://documents.ats.aq/ATCM26/wp/ATCM26_wp001_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,2,0,Draft Comprehensive Environmental Evaluation (CEE) for Andrill McMurdo Sound Portfolio,CEP 4(a),New Zealand,https://documents.ats.aq/ATCM26/wp/ATCM26_wp002_e.pdf
2003,ATCM,26,ATCM XXVI - CEP VI,wp,3,0,Definitive Texts of ATCM decisions - proposed amendments to the Rules of Procedures of the ATCM,ATCM 4(a),United Kingdom,https://documents.ats.aq/ATCM26/wp/ATCM26_wp003_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,4,0,Antarctic shipping guidelines,ATCM 8,United Kingdom,https://documents.ats.aq/ATCM26/wp/ATCM26_wp004_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,5,0,Report of the Chair of the Second Informal Meeting on the Establishment of the Antarctic Treaty Secretariat,ATCM 4(b),Italy,https://documents.ats.aq/ATCM26/wp/ATCM26_wp005_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,6,0,Final Report from the Intersessional Contact Group on Cumulative Environmental Impacts,CEP 4(c),United States,https://documents.ats.aq/ATCM26/wp/ATCM26_wp006_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,7,0,"Final Revised Management Plans for ASPA No. 152, Western Bransfield Strait, and ASPA No. 153, Eastern Dallmann Bay",CEP 4(g),United States,https://documents.ats.aq/ATCM26/wp/ATCM26_wp007_s.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,7,2,"Final Revised Management Plans for ASPA No. 152, Western Bransfield Strait, and ASPA No. 153, Eastern Dallmann Bay",CEP 4(g),United States,https://documents.ats.aq/ATCM26/wp/ATCM26_wp007_rev2_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,8,0,"Draft Management Plans for:ASPA 113, Litchfield Island, Arthur Harbor, Anvers Island; ASPA No. 122, Arrival Heights, Hut Point Peninsula; and ASPA No. 139, Biscoe Point, Anvers Island",CEP 4(g),United States,https://documents.ats.aq/ATCM26/wp/ATCM26_wp008_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,9,0,“Worst Case” & “Less than Worst Case” Environmental scenarios,ATCM 7 | CEP 8,COMNAP,https://documents.ats.aq/ATCM26/wp/ATCM26_wp009_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,10,0,"Antarctic Protected Areas System Draft Management Plan for ASPA No. 114, Northern Coronation Island",CEP 4(g),United Kingdom,https://documents.ats.aq/ATCM26/wp/ATCM26_wp010_e.doc
2003,ATCM,26,ATCM XXVI - CEP VI,wp,11,0,Draft Financial Regulations for the Antarctic Treaty Secretariat,ATCM 4(b),Argentina | Australia,https://documents.ats.aq/ATCM26/wp/ATCM26_wp011_e.doc
