meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1983,ATCM,12,ATCM XII,wp,1,1,Agreed measures for the protection of the environment of the Antarctic environment: interim guidelines,ATCM 6,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp001_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,2,0,Agenda,ATCM 4,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp002_e.pdf
1983,ATCM,12,ATCM XII,wp,3,0,Improvement of telecommunications in Antarctica and distribution of meteorological data,ATCM 5,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp003_e.pdf
1983,ATCM,12,ATCM XII,wp,4,1,Non-governmental expeditions (NGE's) explanatory memorandum,ATCM 8,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp004_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,5,0,Telecommunications and meteorology,ATCM 5,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp005_e.pdf
1983,ATCM,12,ATCM XII,wp,6,0,Discussion paper on man's impact on the Antarctic environment,ATCM 6,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp006_e.pdf
1983,ATCM,12,ATCM XII,wp,7,0,Draft recommendation on man's impact on the Antarctic environment,ATCM 6,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp007_e.pdf
1983,ATCM,12,ATCM XII,wp,8,0,Operation of the Antarctic Treaty,ATCM 10,Chile,https://documents.ats.aq/ATCM12/wp/ATCM12_wp008_e.pdf
1983,ATCM,12,ATCM XII,wp,9,0,Working document on the impact of man on the Antarctic environment,ATCM 6,Argentina | Chile,https://documents.ats.aq/ATCM12/wp/ATCM12_wp009_e.pdf
1983,ATCM,12,ATCM XII,wp,10,0,Public availability of the documents of the consultative meetings,ATCM 11,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp010_e.pdf
1983,ATCM,12,ATCM XII,wp,11,0,Discussion paper on matters relating to the appointment of observers at consultative meetings,ATCM 12,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp011_e.pdf
1983,ATCM,12,ATCM XII,wp,12,0,Note on Exchange of information under Articles III and VII,ATCM 13,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp012_e.pdf
1983,ATCM,12,ATCM XII,wp,13,0,Exchanges of information under the Antarctic Treaty,ATCM 13,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp013_e.pdf
1983,ATCM,12,ATCM XII,wp,14,1,Draft recommendation on Sites of Special Scientific Interest,ATCM 7,Argentina | Chile | United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp014_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,15,0,Improvement of telecommunications in Antarctica and distibution of meteorological data: telecommunications group,ATCM 5,Argentina | Brazil | Chile,https://documents.ats.aq/ATCM12/wp/ATCM12_wp015_e.pdf
1983,ATCM,12,ATCM XII,wp,16,1,Draft recommendation on Historic Sites and Monuments,ATCM 17,India,https://documents.ats.aq/ATCM12/wp/ATCM12_wp016_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,17,1,Extension of the expiration date of the designation of Sites 1-7 as Sites of Special Scientific Interest,ATCM 7,United States,https://documents.ats.aq/ATCM12/wp/ATCM12_wp017_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,18,0,Draft recommendation by Environmental Working Group on man's impact on the Antarctic environment,ATCM 6,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp018_e.pdf
1983,ATCM,12,ATCM XII,wp,19,0,Item relating to the strengthening of ties between SCAR and the national committees of the contracting parties which are not consultative parties to the Antarctic Treaty,ATCM 9,Argentina,https://documents.ats.aq/ATCM12/wp/ATCM12_wp019_e.pdf
1983,ATCM,12,ATCM XII,wp,20,0,Item relating to greater participation in SCAR by the non-consultative contracting parties of the Antarctic Treaty,ATCM 9,Argentina,https://documents.ats.aq/ATCM12/wp/ATCM12_wp020_e.pdf
1983,ATCM,12,ATCM XII,wp,21,0,Draft recommendation on matters relating to the appointment of observers at Consultative Meetings,ATCM 12,United Kingdom,https://documents.ats.aq/ATCM12/wp/ATCM12_wp021_e.pdf
1983,ATCM,12,ATCM XII,wp,22,0,Draft recommendation on the collection and distribution of Antarctic meteorological data,ATCM 5,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp022_e.pdf
1983,ATCM,12,ATCM XII,wp,23,0,Draft recommendation on Antarctic telecommunications,ATCM 5,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp023_e.pdf
1983,ATCM,12,ATCM XII,wp,24,1,Final report of the VII ATCM,ATCM 18,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp024_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,24,2,Final report of the VII ATCM,ATCM 18,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp024_rev2_e.pdf
1983,ATCM,12,ATCM XII,wp,25,0,Draft recommendation: Code of conduct,ATCM 6,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp025_e.pdf
1983,ATCM,12,ATCM XII,wp,26,0,Recommendation on the Operation of the Antarctic Treaty System,ATCM 10 | ATCM 11,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp026_e.pdf
1983,ATCM,12,ATCM XII,wp,27,1,Message from the Twelfth ATCM to stations in Antarctica,ATCM 17,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp027_rev1_e.pdf
1983,ATCM,12,ATCM XII,wp,28,1,SCAR assistance to Consultative parties,ATCM 10,Australia,https://documents.ats.aq/ATCM12/wp/ATCM12_wp028_rev1_e.pdf
