meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2012,ATCM,35,ATCM XXXV - CEP XV,wp,1,0,Antarctic Treaty Consultative Meeting Communiqué,ATCM 5,Australia,https://documents.ats.aq/ATCM35/wp/ATCM35_wp001_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,2,0,"Revised Management Plan for Antarctic Specially Protected Area (ASPA) No. 151 Lions Rump, King George Island, South Shetland Islands",CEP 7a,Poland,https://documents.ats.aq/ATCM35/wp/ATCM35_wp002_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,3,0,"Revised Management Plan for Antarctic Specially Protected Area (ASPA) No. 128 Western Shore of Admiralty Bay, King George Island, South Shetland Islands",CEP 7a,Poland,https://documents.ats.aq/ATCM35/wp/ATCM35_wp003_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,4,0,The Assessment of Land-Based Activities in Antarctica,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp004_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,5,0,Outcomes of the International Polar Year Programme: Aliens in Antarctica,CEP 8a,SCAR,https://documents.ats.aq/ATCM35/wp/ATCM35_wp005_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,6,0,Reducing the risk of inadvertent non-native species introductions associated with fresh fruit and vegetable importation to Antarctica,CEP 8a,SCAR,https://documents.ats.aq/ATCM35/wp/ATCM35_wp006_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,7,0,Remote sensing for monitoring Antarctic Specially Protected Areas: use of multispectral and hyperspectral data for monitoring Antarctic vegetation,CEP 9,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp007_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,8,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 129 Rothera Point, Adelaide Island",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp008_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,9,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 109 Moe Island, South Orkney Islands",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp009_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,10,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 111 Southern Powell Island and adjacent islands, South Orkney Islands",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp010_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,11,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 115 Lagotellerie Island, Marguerite Bay, Graham Land",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp011_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,12,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 110 Lynch Island, South Orkney Islands",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp012_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,13,0,Understanding Risk to National Antarctic Program Operations and Personnel in Coastal Antarctica from Tsunami Events,ATCM 10,COMNAP | SCAR,https://documents.ats.aq/ATCM35/wp/ATCM35_wp013_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,14,0,Subsidiary Group on Management Plans – Report on 2011/12 Intersessional Work,CEP 7a,Australia,https://documents.ats.aq/ATCM35/wp/ATCM35_wp014_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,15,0,"Site Guidelines for D’Hainaut Island, Mikkelsen Harbour, Trinity Island",CEP 7c,United Kingdom | Argentina | United States,https://documents.ats.aq/ATCM35/wp/ATCM35_wp015_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,16,0,"Site Guidelines for Port Charcot, Booth Island",CEP 7c,United Kingdom | Argentina | France | Ukraine | United States,https://documents.ats.aq/ATCM35/wp/ATCM35_wp016_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,17,1,Compiling yacht guidelines to complement safety standards of ship traffic around Antarctica,ATCM 11,Germany | United Kingdom | United States,https://documents.ats.aq/ATCM35/wp/ATCM35_wp017_rev1_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,18,0,Penguin monitoring via remote sensing,CEP 9,Germany,https://documents.ats.aq/ATCM35/wp/ATCM35_wp018_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,19,0,The proposed designation of an Antarctic Specially Protected Area (ASPA) for high altitude geothermal areas of the Ross Sea region,CEP 7a,New Zealand,https://documents.ats.aq/ATCM35/wp/ATCM35_wp019_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,20,0,Establishing a monitoring programme to assess changes in vegetation at two Antarctic Specially Protected Areas,CEP 9,New Zealand,https://documents.ats.aq/ATCM35/wp/ATCM35_wp020_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,21,0,An Antarctic Clean-Up Manual,CEP 12,Australia | United Kingdom,https://documents.ats.aq/ATCM35/wp/ATCM35_wp021_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,22,0,Environmental Aspects and Impacts of Tourism and Non-governmental Activities in Antarctica,CEP 6b,New Zealand,https://documents.ats.aq/ATCM35/wp/ATCM35_wp022_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,23,1,Antarctic Conservation Biogeographic Regions,CEP 7f,Australia | New Zealand | SCAR,https://documents.ats.aq/ATCM35/wp/ATCM35_wp023_rev1_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,24,0,A guide for Secretariat systems and information sources,ATCM 6,Australia,https://documents.ats.aq/ATCM35/wp/ATCM35_wp024_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,25,1,Guidelines to minimise the risks of non-native species and disease associated with Antarctic hydroponics facilities,CEP 8a,Australia | France,https://documents.ats.aq/ATCM35/wp/ATCM35_wp025_rev1_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,26,0,Environmental issues related to the practicality of repair or remediation of environmental damage,CEP 12,Australia,https://documents.ats.aq/ATCM35/wp/ATCM35_wp026_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,27,1,Report of the Intersessional Contact Group ‘Outstanding Questions’ on Antarctic Tourism,ATCM 11,Netherlands,https://documents.ats.aq/ATCM35/wp/ATCM35_wp027_rev1_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,28,0,Jurisdiction in Antarctica (updated version),ATCM 5,France,https://documents.ats.aq/ATCM35/wp/ATCM35_wp028_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,29,0,Improving the Functioning of the Electronic Information Exchange System (EIES) for Non-Governmental Activities in Antarctica (Updated version),ATCM 17,France,https://documents.ats.aq/ATCM35/wp/ATCM35_wp029_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,30,0,The Development of a Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,ATCM 7,Australia | Belgium | Netherlands | New Zealand | Norway | South Africa | Sweden | United Kingdom | United States,https://documents.ats.aq/ATCM35/wp/ATCM35_wp030_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,31,0,Strengthening Support for the Protocol on Environmental Protection to the Antarctic Treaty,ATCM 5,Australia | France | Spain,https://documents.ats.aq/ATCM35/wp/ATCM35_wp031_e.doc
2012,ATCM,35,ATCM XXXV - CEP XV,wp,32,0,ATCM interests in international climate change discussions – options for enhanced engagement,ATCM 14,Australia,https://documents.ats.aq/ATCM35/wp/ATCM35_wp032_e.doc
