meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1994,ATCM,18,ATCM XVIII,wp,1,0,Implementation of the Protocol on Environmental Protection to the Antarctic Treaty,ATCM 6,Germany,https://documents.ats.aq/ATCM18/wp/ATCM18_wp001_e.pdf
1994,ATCM,18,ATCM XVIII,wp,2,0,Liability annex to the Protocol on Environmental Protection to the Antarctic Treaty,ATCM 6,Germany,https://documents.ats.aq/ATCM18/wp/ATCM18_wp002_e.pdf
1994,ATCM,18,ATCM XVIII,wp,3,0,Marine pollution and ship safety,ATCM 6,COMNAP,https://documents.ats.aq/ATCM18/wp/ATCM18_wp003_e.pdf
1994,ATCM,18,ATCM XVIII,wp,4,0,Protocol on the Protection of the Antarctic Environment,ATCM 6,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp004_e.pdf
1994,ATCM,18,ATCM XVIII,wp,5,0,Historic Sites and Monuments,ATCM 11,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp005_e.pdf
1994,ATCM,18,ATCM XVIII,wp,5,1,The Antarctic System for Specially Protected Areas Historic Sites and Monuments,ATCM 11,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp005_rev1_e.pdf
1994,ATCM,18,ATCM XVIII,wp,6,0,Opening Addresses,ATCM 3,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp006_e.pdf
1994,ATCM,18,ATCM XVIII,wp,7,0,"Preparation for the establishment of the CEP: possible timeframe, key tasks, support",ATCM 6,Australia,https://documents.ats.aq/ATCM18/wp/ATCM18_wp007_e.pdf
1994,ATCM,18,ATCM XVIII,wp,8,0,Practical preparations for the establishment of the Treaty Secretariat,ATCM 8,Australia,https://documents.ats.aq/ATCM18/wp/ATCM18_wp008_e.pdf
1994,ATCM,18,ATCM XVIII,wp,9,0,Conduct of tourism and non-governmental activity in Antarctica,ATCM 13,Australia,https://documents.ats.aq/ATCM18/wp/ATCM18_wp009_e.pdf
1994,ATCM,18,ATCM XVIII,wp,10,0,Committee on Environmental Protection in Antarctica,ATCM 6,France,https://documents.ats.aq/ATCM18/wp/ATCM18_wp010_e.pdf
1994,ATCM,18,ATCM XVIII,wp,11,0,Agreed Measures on Tourism in Antarctica,ATCM 13,France,https://documents.ats.aq/ATCM18/wp/ATCM18_wp011_e.pdf
1994,ATCM,18,ATCM XVIII,wp,12,0,Verification or Check List for Inspections,ATCM 8,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp012_e.pdf
1994,ATCM,18,ATCM XVIII,wp,13,0,"The regulation of the extraction, use and custody of scientific sample obtained in the investigation of the Antarctic",ATCM 9,Chile,https://documents.ats.aq/ATCM18/wp/ATCM18_wp013_e.pdf
