meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1972,ATCM,7,ATCM VII,wp,1,0,Provisional Agenda,ATCM 4,New Zealand,https://documents.ats.aq/ATCM7/wp/ATCM7_wp001_e.pdf
1972,ATCM,7,ATCM VII,wp,2,0,Antarctic resources - effects of mineral exploration,ATCM 8,France,https://documents.ats.aq/ATCM7/wp/ATCM7_wp002_e.pdf
1972,ATCM,7,ATCM VII,wp,3,0,Historical monuments in Antarctica,ATCM 14,Norway,https://documents.ats.aq/ATCM7/wp/ATCM7_wp003_e.pdf
1972,ATCM,7,ATCM VII,wp,4,0,Administrative arrangements (draft recommendation),ATCM 19,Chile,https://documents.ats.aq/ATCM7/wp/ATCM7_wp004_e.pdf
1972,ATCM,7,ATCM VII,wp,5,0,Seals and birds killed and captured in the Antarctic Treaty Area 1964 - 1969,ATCM 5,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp005_e.pdf
1972,ATCM,7,ATCM VII,wp,6,0,Actions taken by the UK to implement the Antarctic Treaty recommendations relating to the conservation of flora and fauna,ATCM 5,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp006_e.pdf
1972,ATCM,7,ATCM VII,wp,7,0,"Extract from a letter dated 16th May 1972 from the British embassy in Washington, to Mr Lars-Eric Lundblad of Lundblad Excursions Inc.",ATCM 7,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp007_e.pdf
1972,ATCM,7,ATCM VII,wp,8,0,Purposes and designation of special areas,ATCM 9,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp008_e.pdf
1972,ATCM,7,ATCM VII,wp,9,0,Evaluation of the series of Specially Protected Areas in Antarctica,ATCM 9,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp009_e.pdf
1972,ATCM,7,ATCM VII,wp,10,0,Types of interference in relation to BAS activities,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp010_e.pdf
1972,ATCM,7,ATCM VII,wp,11,0,Historical monuments,ATCM 14,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp011_e.pdf
1972,ATCM,7,ATCM VII,wp,12,0,Classification of Consultative Meeting documents,ATCM 18,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp012_e.pdf
1972,ATCM,7,ATCM VII,wp,13,0,Report of Conference on Conservation of Antarctic seals,ATCM 20,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp013_e.pdf
1972,ATCM,7,ATCM VII,wp,14,0,Administrative action for implementation of the Agreed Measures,ATCM 5,United States,https://documents.ats.aq/ATCM7/wp/ATCM7_wp014_e.pdf
1972,ATCM,7,ATCM VII,wp,15,0,Man's impact on the Antarctic environment,ATCM 10,New Zealand,https://documents.ats.aq/ATCM7/wp/ATCM7_wp015_e.pdf
1972,ATCM,7,ATCM VII,wp,16,0,Use of radioisotopes in the Antarctic,ATCM 12,New Zealand,https://documents.ats.aq/ATCM7/wp/ATCM7_wp016_e.pdf
1972,ATCM,7,ATCM VII,wp,17,0,Antarctic resources - effects of mineral exploration,ATCM 8,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp017_e.pdf
1972,ATCM,7,ATCM VII,wp,17,1,Antarctic resources - effects of mineral exploration,ATCM 8,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp017_rev1_e.pdf
1972,ATCM,7,ATCM VII,wp,18,0,Historical monuments,ATCM 14,New Zealand,https://documents.ats.aq/ATCM7/wp/ATCM7_wp018_e.pdf
1972,ATCM,7,ATCM VII,wp,19,0,Private and touristic expeditions to Antarctica,ATCM 7,New Zealand,https://documents.ats.aq/ATCM7/wp/ATCM7_wp019_e.pdf
1972,ATCM,7,ATCM VII,wp,20,0,Decree No.17 regulating the conservation of flora and fauna in the Terre Adelie district,ATCM 5,France,https://documents.ats.aq/ATCM7/wp/ATCM7_wp020_e.pdf
1972,ATCM,7,ATCM VII,wp,21,0,Conservation of flora and fauna,ATCM 5,Norway,https://documents.ats.aq/ATCM7/wp/ATCM7_wp021_e.pdf
1972,ATCM,7,ATCM VII,wp,22,0,Extract from the reports of the twelfth meeting of SCAR held in Canberra in August 1972,ATCM 13,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp022_e.pdf
1972,ATCM,7,ATCM VII,wp,23,0,Report of Conference on the conservation of Antarctic seals,ATCM 20,United Kingdom,https://documents.ats.aq/ATCM7/wp/ATCM7_wp023_e.pdf
1972,ATCM,7,ATCM VII,wp,24,0,Antarctic resources - effects of mineral exploration,ATCM 8,South Africa,https://documents.ats.aq/ATCM7/wp/ATCM7_wp024_e.pdf
1972,ATCM,7,ATCM VII,wp,25,0,National reports of experience and remedial action: South African Antarctic base at Sanae,ATCM 10,South Africa,https://documents.ats.aq/ATCM7/wp/ATCM7_wp025_e.pdf
1972,ATCM,7,ATCM VII,wp,26,0,Cooperation in transport,ATCM 15,South Africa,https://documents.ats.aq/ATCM7/wp/ATCM7_wp026_e.pdf
1972,ATCM,7,ATCM VII,wp,26,1,Cooperation in transport,ATCM 15,South Africa,https://documents.ats.aq/ATCM7/wp/ATCM7_wp026_rev1_e.pdf
1972,ATCM,7,ATCM VII,wp,27,0,Directives to personnel of Argentine bases and expeditions,ATCM 5,Argentina,https://documents.ats.aq/ATCM7/wp/ATCM7_wp027_e.pdf
1972,ATCM,7,ATCM VII,wp,28,0,Regulations for the conservation of Antarctic fauna and flora on the Soviet expeditions,ATCM 5,Russian Federation,https://documents.ats.aq/ATCM7/wp/ATCM7_wp028_e.pdf
1972,ATCM,7,ATCM VII,wp,29,0,Man's impact on the Antarctic environment,ATCM 10,Russian Federation,https://documents.ats.aq/ATCM7/wp/ATCM7_wp029_e.pdf
1972,ATCM,7,ATCM VII,wp,29,1,Man's impact on the Antarctic environment,ATCM 10,Russian Federation,https://documents.ats.aq/ATCM7/wp/ATCM7_wp029_rev1_e.pdf
