meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,1,0,Inspection undertaken by Japan in accordance with Article VII of the Antarctic Treaty and Article XIV of the Protocol on Environmental Protection,ATCM 11 | CEP 10,Japan,https://documents.ats.aq/ATCM34/wp/ATCM34_wp001_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,2,1,Early Warning System for Antarctica of the arrival of waves generated by earthquakes,ATCM 9,Argentina,https://documents.ats.aq/ATCM34/wp/ATCM34_wp002_rev1_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,3,0,"Review of the management plan for ASPA No. 120, Pointe-Géologie Archipelago, Terre Adélie",CEP 7a,France,https://documents.ats.aq/ATCM34/wp/ATCM34_wp003_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,4,0,"Management Plan for ASPA No. 166, Port-Martin, Terre Adélie. Proposal to extend the existing Management Plan",CEP 7a,France,https://documents.ats.aq/ATCM34/wp/ATCM34_wp004_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,5,0,Proposed addition of No.1 Building Commemorating China’s Antarctic Expedition at Great Wall Station to the List of Historic Sites and Monument,CEP 7b,China,https://documents.ats.aq/ATCM34/wp/ATCM34_wp005_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,6,0,"Revised Management Plan for Antarctic Specially Protected Area No. 149 Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands",CEP 7a,United States | Chile,https://documents.ats.aq/ATCM34/wp/ATCM34_wp006_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,7,0,"Report of the intersessional open-ended contact group to consider the draft CEE for the “Construction and Operation of the Jang Bogo Station, Terra Nova Bay, Antarctica”",CEP 6a,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp007_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,8,0,"Proposed schedule for the 35th Antarctic Treaty Consultative Meeting, Hobart, 2012",ATCM 20 | CEP 14,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp008_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,9,0,"Revised Management Plan for Antarctic Specially Protected Area No. 122 Arrival Heights, Hut Point Peninsula, Ross Island",CEP 7a,United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp009_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,10,0,"Developing a plan for Special protection at Taylor Glacier and Blood Falls, Taylor Valley, McMurdo Dry Valleys Victoria Land",CEP 7a,United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp010_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,11,0,Follow-up to the unauthorized presence of French yachts within the Treaty area and damage caused to the hut known as Wordie House -Observations on the consequences of the affair,ATCM 10,France,https://documents.ats.aq/ATCM34/wp/ATCM34_wp011_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,12,0,Raising awareness of non-native species introductions: Workshop results and checklists for supply chain managers,CEP 8a,COMNAP | SCAR,https://documents.ats.aq/ATCM34/wp/ATCM34_wp012_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,13,0,Subsidiary Group on Management Plans – Report on Terms of Reference #4 and #5: Improving Management Plans and the Process for their Intersessional Review,CEP 7a,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp013_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,14,0,"Report of the Intersessional Open-ended Contact Group to Consider the Draft CEE for the “Proposed Exploration of Subglacial Lake Ellsworth, Antarctica”",CEP 6a,Norway,https://documents.ats.aq/ATCM34/wp/ATCM34_wp014_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,15,1,Remote Sensing Techniques for Improved Monitoring of Environment and Climate Change in Antarctica,CEP 9,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp015_rev1_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,16,0,"Draft Comprehensive Environmental Evaluation (CEE) for the Proposed Exploration of Subglacial Lake Ellsworth, Antarctica",CEP 6a,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp016_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,17,0,"Revision of Site Guidelines for Whalers Bay, Deception Island, South Shetland Islands",CEP 7c,United Kingdom | Argentina | Chile | Norway | Spain | United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp017_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,18,0,"Proposed monitoring activities within Antarctic Specially Protected Area (ASPA) No. 107 Emperor Island, Dion Islands, Marguerite Bay, Antarctic Peninsula",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp018_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,19,0,The Assessment of Land-Based Activities in Antarctica,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp019_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,20,0,Data Collection and Reporting on Yachting Activity in Antarctica in 2010/11,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp020_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,21,0,Antarctic Tourism: Towards a strategic and pro-active approach via an inventory of outstanding questions,ATCM 10,Netherlands | United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp021_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,22,0,An additional procedure for intersessional consultations among ATCPs,ATCM 5,Netherlands | Germany,https://documents.ats.aq/ATCM34/wp/ATCM34_wp022_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,23,0,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 140 Parts of Deception Island, South Shetland Islands",CEP 7a,United Kingdom,https://documents.ats.aq/ATCM34/wp/ATCM34_wp023_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,24,0,Progress Report of the Intersessional Contact Group on Review of ATCM Recommendations,ATCM 5,Argentina,https://documents.ats.aq/ATCM34/wp/ATCM34_wp024_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,25,0,Timely Submission of Papers in Advance of ATCMs,ATCM 5 | CEP 4,Germany | United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp025_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,26,0,ATCM Review of Tourism Rules and Regulations,ATCM 10,United States | France | Germany | Netherlands | New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp026_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,27,0,Report of the Informal Discussions on Historic Sites and Monuments,CEP 7b,Argentina,https://documents.ats.aq/ATCM34/wp/ATCM34_wp027_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,28,0,Environmental issues related to the practicality of repair or remediation of environmental damage,CEP 12,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp028_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,29,0,"Revised management plan for Antarctic Specially Protected Area No. 167, Hawker Island, Princess Elizabeth Land",CEP 7a,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp029_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,30,0,"Site Guidelines for the Taylor Valley Visitor Zone, Southern Victoria Land",CEP 7c,New Zealand | United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp030_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,31,0,"Revision of Management Plan for Antarctic Specially Protected Area No. 116: New College Valley, Caughley Beach, Cape Bird, Ross Island",CEP 7a,New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp031_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,32,0,Enhancing the Antarctic Protected Areas Database to help assess and further develop the protected areas system,CEP 7f,Australia,https://documents.ats.aq/ATCM34/wp/ATCM34_wp032_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,33,0,"Revision of Management Plan for Antarctic Specially Protected Area No. 131: Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land",CEP 7a,New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp033_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,34,0,Report of the Intersessional Contact Group on Non-Native Species 2010-2011,CEP 8a,New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp034_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,35,0,Understanding concepts of Footprint and Wilderness related to protection of the Antarctic environment,CEP 7d,New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp035_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,36,0,A proposed new approach to the handling of Information Papers,ATCM 5 | CEP 4,Australia | France | New Zealand,https://documents.ats.aq/ATCM34/wp/ATCM34_wp036_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,37,0,Yacht guidelines to complement safety standards of ship traffic around Antarctica,ATCM 10,Germany | Australia | Norway | United Kingdom | United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp037_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,38,0,Antarctic Discussion Forum of Competent Authorities (DFCA) – Impacts of underwater sound to Antarctic waters –,CEP 8c,Germany,https://documents.ats.aq/ATCM34/wp/ATCM34_wp038_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,39,0,"Revised Management Plan for Antarctic Specially Managed Area No. 2 McMurdo Dry Valleys, Southern Victoria Land",CEP 7a,New Zealand | United States,https://documents.ats.aq/ATCM34/wp/ATCM34_wp039_e.doc
2011,ATCM,34,ATCM XXXIV - CEP XIV,wp,40,0,Strengthening Support for the Madrid Protocol,ATCM 5,France | Australia | Spain,https://documents.ats.aq/ATCM34/wp/ATCM34_wp040_e.doc
