meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
1989,ATCM,15,ATCM XV,wp,1,0,Agenda,ATCM 4,France,https://documents.ats.aq/ATCM15/wp/ATCM15_wp001_e.pdf
1989,ATCM,15,ATCM XV,wp,2,0,Comprehensive measures for the protection of the Antarctic environment and its dependent and associated ecosystems,ATCM 7,Australia | France,https://documents.ats.aq/ATCM15/wp/ATCM15_wp002_e.pdf
1989,ATCM,15,ATCM XV,wp,3,0,Franco-Australia draft working paper on possible components for a comprehensive convention for the preservation and protection of Antarctica,ATCM 7,Australia | France,https://documents.ats.aq/ATCM15/wp/ATCM15_wp003_e.pdf
1989,ATCM,15,ATCM XV,wp,4,0,Working paper on the protection of the Antarctic environment,ATCM 7,New Zealand,https://documents.ats.aq/ATCM15/wp/ATCM15_wp004_e.pdf
1989,ATCM,15,ATCM XV,wp,5,0,"Coordination of topographical surveys and hydrographical studies, and their publication in relation with navigational safety standard and scientific research in Antarctica",ATCM 16,Spain,https://documents.ats.aq/ATCM15/wp/ATCM15_wp005_e.pdf
1989,ATCM,15,ATCM XV,wp,6,0,Working document submitted by the delegations of the Federal Republic of Germany and France,ATCM 11,France | Germany,https://documents.ats.aq/ATCM15/wp/ATCM15_wp006_e.pdf
1989,ATCM,15,ATCM XV,wp,7,0,Working paper submitted by the delegation of Chile,ATCM 7,Chile,https://documents.ats.aq/ATCM15/wp/ATCM15_wp007_e.pdf
1989,ATCM,15,ATCM XV,wp,8,0,Comprehensive measures for the protection of the Antarctic environment and dependent and associated ecosystems,ATCM 7,United States,https://documents.ats.aq/ATCM15/wp/ATCM15_wp008_e.pdf
1989,ATCM,15,ATCM XV,wp,9,6,Draft declaration on the ozone layer,ATCM 8,France,https://documents.ats.aq/ATCM15/wp/ATCM15_wp009_rev6_e.pdf
1989,ATCM,15,ATCM XV,wp,10,0,Draft recommendation on waste disposal,ATCM 9(a),United States,https://documents.ats.aq/ATCM15/wp/ATCM15_wp010_e.pdf
1989,ATCM,15,ATCM XV,wp,11,2,Working paper submitted by the United Kingdom,ATCM 11 | ATCM 8,United Kingdom,https://documents.ats.aq/ATCM15/wp/ATCM15_wp011_rev2_e.pdf
1989,ATCM,15,ATCM XV,wp,12,0,Draft recommendation on marine pollution,ATCM 9(b),United States,https://documents.ats.aq/ATCM15/wp/ATCM15_wp012_e.pdf
1989,ATCM,15,ATCM XV,wp,13,0,Requirements for support of the Antarctic Treaty,ATCM 6(b),United States,https://documents.ats.aq/ATCM15/wp/ATCM15_wp013_e.pdf
1989,ATCM,15,ATCM XV,wp,14,0,Comprehensive measure for the protection of the Antarctic environment and dependent and associated ecosystems,ATCM 7,Sweden,https://documents.ats.aq/ATCM15/wp/ATCM15_wp014_e.pdf
1989,ATCM,15,ATCM XV,wp,15,0,Measures for fostering international scientific cooperation: concentration of siting of stations,ATCM 12(b),Uruguay,https://documents.ats.aq/ATCM15/wp/ATCM15_wp015_e.pdf
