meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,agendas,parties,url
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,1,0,Working Paper to initiate a strategic discussion on future environmental challenges in Antarctica and its dependent and associated ecosystems,CEP 3,Sweden,https://documents.ats.aq/ATCM28/wp/ATCM28_wp001_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,2,0,Systematic Environmental Protection in Antarctica: A draft Systematic Environmental-Geographic Framework for Antarctica created using Environmental Domains Analysis.,CEP 4(g),New Zealand,https://documents.ats.aq/ATCM28/wp/ATCM28_wp002_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,3,0,"Antarctic Protected Areas System: Lillie Marleen Hut, Mt. Dockery, Everett Range, northern Victoria Land, Antarctica. Proposal for Inclusion in the Antarctic Treaty List of Historic Sites and Monuments",CEP 4(g),Germany,https://documents.ats.aq/ATCM28/wp/ATCM28_wp003_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,4,0,"Draft Revised Management Plan for ASPA 119 Davis Valley and Forlidas Pond, Dufek Massif",CEP 4(g),United States,https://documents.ats.aq/ATCM28/wp/ATCM28_wp004_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,5,0,"Final Revised Management Plan for ASPA 149 Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands.",CEP 4(g),Chile | United States,https://documents.ats.aq/ATCM28/wp/ATCM28_wp005_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,6,0,"Draft Management Plan for ASMA ? Amundsen-Scott South Pole Station, South Pole.",CEP 4(g),United States,https://documents.ats.aq/ATCM28/wp/ATCM28_wp006_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,7,0,Revision of Management Plan for Antarctic Specially Protected Area No.133 (Harmony Point),CEP 4(g),Argentina | Chile,https://documents.ats.aq/ATCM28/wp/ATCM28_wp007_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,8,0,Revision of Management Plan for Antarctic Specially Protected Area No.132 (Potter Peninsula),CEP 4(g),Argentina,https://documents.ats.aq/ATCM28/wp/ATCM28_wp008_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,9,0,The Committee on Environmental Protection of the Antarctic Treaty: An overview and likely future scenarios,CEP 3,Argentina,https://documents.ats.aq/ATCM28/wp/ATCM28_wp009_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,10,0,State of the Antarctic Environment Reporting System: Report of the Intersessional Contact Group,CEP 6,Australia | New Zealand,https://documents.ats.aq/ATCM28/wp/ATCM28_wp010_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,11,0,A Review of the Antarctic Protected Areas System,CEP 4(g),New Zealand,https://documents.ats.aq/ATCM28/wp/ATCM28_wp011_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,12,0,‘Land-Based’ Tourism in Antarctica,ATCM 12,New Zealand,https://documents.ats.aq/ATCM28/wp/ATCM28_wp012_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,13,0,Biological Prospecting in Antarctica,ATCM 18 | CEP 7,New Zealand | Sweden,https://documents.ats.aq/ATCM28/wp/ATCM28_wp013_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,14,0,Proposed Improvements to Measures Designed to Prevent Environmental Damage in Antarctica,ATCM 15,Russian Federation,https://documents.ats.aq/ATCM28/wp/ATCM28_wp014_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,15,0,Revised Management Plan for Antarctic Specially Protected Area 127 Haswell Island (Haswell Island and Adjacent Emperor Penguin Rookery on Fast Ice),CEP 4(g),Russian Federation,https://documents.ats.aq/ATCM28/wp/ATCM28_wp015_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,16,0,Scott Base and Mcmurdo Station: Report of an inspection under Article VII of the Antarctic Treaty and Article 14 of the Protocol on Environmental Protection,ATCM 13,Australia,https://documents.ats.aq/ATCM28/wp/ATCM28_wp016_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,17,0,"Antarctic Protected Area System: Review of Antarctic Specially Protected Areas 155, 157, 158, 159",CEP 4(g),New Zealand,https://documents.ats.aq/ATCM28/wp/ATCM28_wp017_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,18,0,Report of the intersessional contact group on accreditation scheme for Antarctic tour operators,ATCM 12,United Kingdom,https://documents.ats.aq/ATCM28/wp/ATCM28_wp018_e.doc
2005,ATCM,28,ATCM XXVIII - CEP VIII,wp,19,0,Draft Comprehensive Environmental Evaluation (CEE),CEP 4(b),United Kingdom,https://documents.ats.aq/ATCM28/wp/ATCM28_wp019_e.doc
