meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1962,ATCM,2,ATCM II,wp,4,False,Measures for the protection and conservation of living resources and exchange of information on the subject,ATCM 7,Chile,https://documents.ats.aq/ATCM2/wp/ATCM2_wp004_e.pdf
1962,ATCM,2,ATCM II,wp,5,False,"Complementation of the exchange of information supplied in accordance with Article VII, Paragraph 5 of the Antarctic Treaty, and Recommendation I-VI of the First Consultative Meeting",ATCM 9,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp005_e.pdf
1962,ATCM,2,ATCM II,wp,6,False,Exchange of information under Article VII.5,ATCM 9,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp006_e.pdf
1962,ATCM,2,ATCM II,wp,7,False,Exchange of information on logistic activities,ATCM 10,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp007_e.pdf
1962,ATCM,2,ATCM II,wp,8,False,Administrative facilities for incoming and outgoing samples specimens and scientifc instruments,ATCM 12,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp008_e.pdf
1962,ATCM,2,ATCM II,wp,9,False,International Quiet Sun Year,ATCM 13,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp009_e.pdf
1962,ATCM,2,ATCM II,wp,10,False,Matters relating to the exercise of jurisdiction in Antarctica,ATCM 10,United Kingdom,https://documents.ats.aq/ATCM2/wp/ATCM2_wp010_e.pdf
1962,ATCM,2,ATCM II,wp,11,False,Implementation of recommendations of the first Antarctic Treaty Consultative Meeting,ATCM 15,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp011_e.pdf
1962,ATCM,2,ATCM II,wp,12,False,Measures to ensure the exchange of the results and data of scientific observations carried out in Antarctica,ATCM 6,Russian Federation,https://documents.ats.aq/ATCM2/wp/ATCM2_wp012_e.pdf
1962,ATCM,2,ATCM II,wp,13,False,Other matters,ATCM 17,New Zealand,https://documents.ats.aq/ATCM2/wp/ATCM2_wp013_e.pdf
1962,ATCM,2,ATCM II,wp,14,False,Measures to ensure the exchange of the results and data of scientific observations carried out in Antarctica,ATCM 6,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp014_e.pdf
1962,ATCM,2,ATCM II,wp,15,False,Arrangement for radiocommunications,ATCM 8,Australia | South Africa,https://documents.ats.aq/ATCM2/wp/ATCM2_wp015_e.pdf
1962,ATCM,2,ATCM II,wp,16,False,Place and date of the next meeting,ATCM 16,Belgium,https://documents.ats.aq/ATCM2/wp/ATCM2_wp016_e.pdf
1962,ATCM,2,ATCM II,wp,17,False,Other matters,ATCM 17,South Africa,https://documents.ats.aq/ATCM2/wp/ATCM2_wp017_e.pdf
1962,ATCM,2,ATCM II,wp,18,False,Measures for the protection and conservation of living resources and exchange of information on the subject,ATCM 7,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp018_e.pdf
1962,ATCM,2,ATCM II,wp,19,False,Conservation of wildlife,ATCM 7,United Kingdom,https://documents.ats.aq/ATCM2/wp/ATCM2_wp019_e.pdf
1962,ATCM,2,ATCM II,wp,20,True,"Complementation of the exchange of information supplied in accordance with the provisions of Article VII, paragraph 5 of the Antarctic Treaty, and Recommendation I-VI of the First Consultative Meeting.",ATCM 11,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp020_e.pdf
1962,ATCM,2,ATCM II,wp,21,False,Exchange of information under Article VII.5,ATCM 9,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp021_e.pdf
1962,ATCM,2,ATCM II,wp,22,False,Exchange of information regarding logistic activities,ATCM 10,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp022_e.pdf
1962,ATCM,2,ATCM II,wp,23,False,"Administrative facilities for incoming and outgoing samples, specimens and scientific instruments",ATCM 12,Argentina,https://documents.ats.aq/ATCM2/wp/ATCM2_wp023_e.pdf
1962,ATCM,2,ATCM II,wp,24,False,Matters relating to the exercise of jurisdiction in Antarctica,ATCM 14,United Kingdom,https://documents.ats.aq/ATCM2/wp/ATCM2_wp024_e.pdf
1962,ATCM,2,ATCM II,wp,25,False,Implementation of Recommendations of the first Antarctic Treaty Consultative Meeting,ATCM 15,Australia,https://documents.ats.aq/ATCM2/wp/ATCM2_wp025_e.pdf
1962,ATCM,2,ATCM II,wp,26,False,Place and date of the next meeting,ATCM 15,Chile,https://documents.ats.aq/ATCM2/wp/ATCM2_wp026_e.pdf
